"filename", "language", "LaTeX", "Standard ML", "TeX", "Markdown", "Makefile", "Python", "comment", "blank", "total"
"/home/kalina/rep2rep_fork/rep2rep/Makefile", "Makefile", 0, 0, 0, 0, 48, 0, 0, 10, 58
"/home/kalina/rep2rep_fork/rep2rep/README.md", "Markdown", 0, 0, 0, 13, 0, 0, 0, 7, 20
"/home/kalina/rep2rep_fork/rep2rep/doc/RST intro/CommandsForACM.sty", "TeX", 0, 0, 450, 0, 0, 0, 89, 174, 713
"/home/kalina/rep2rep_fork/rep2rep/doc/RST intro/RST-intro-part1.tex", "LaTeX", 617, 0, 0, 0, 0, 0, 152, 64, 833
"/home/kalina/rep2rep_fork/rep2rep/doc/RST intro/RST-intro-part2.tex", "LaTeX", 318, 0, 0, 0, 0, 0, 7, 35, 360
"/home/kalina/rep2rep_fork/rep2rep/doc/RST intro/acmart.cls", "TeX", 0, 0, 2827, 0, 0, 0, 60, 6, 2893
"/home/kalina/rep2rep_fork/rep2rep/doc/RST intro/dotAndFOAcommands.tex", "LaTeX", 295, 0, 0, 0, 0, 0, 14, 125, 434
"/home/kalina/rep2rep_fork/rep2rep/doc/RST intro/exampleCommands.sty", "TeX", 0, 0, 1817, 0, 0, 0, 426, 208, 2451
"/home/kalina/rep2rep_fork/rep2rep/doc/RST intro/mnotes.sty", "TeX", 0, 0, 66, 0, 0, 0, 21, 21, 108
"/home/kalina/rep2rep_fork/rep2rep/input/transferSchemas/measPath", "Standard ML", 0, 153, 0, 0, 0, 0, 0, 30, 183
"/home/kalina/rep2rep_fork/rep2rep/output/latex/commands.tex", "LaTeX", 412, 0, 0, 0, 0, 0, 50, 141, 603
"/home/kalina/rep2rep_fork/rep2rep/src/constrParser/logicManage.sml", "Standard ML", 0, 35, 0, 0, 0, 0, 6, 9, 50
